complexity,algorithm,samples,reward,b
12,A*,1,0.9950371902099892,8
12,A*,2,1.0,8
12,A*,3,1.1043152607484654,8
12,A*,4,0.9950371902099892,8
12,A*,5,1.2403473458920846,8
12,A*,6,1.1111111111111112,8
12,A*,7,1.414213562373095,8
12,A*,8,1.1043152607484654,8
12,A*,9,0.9805806756909202,8
12,A*,10,1.25,8
12,A*,11,1.0846522890932808,8
12,A*,12,1.4285714285714284,8
12,A*,13,1.2403473458920846,8
12,A*,14,1.643989873053573,8
12,A*,15,0.9578262852211514,8
12,A*,16,1.414213562373095,8
12,A*,17,0.9284766908852593,8
12,A*,18,1.9611613513818404,8
12,A*,19,1.0540925533894598,8
12,A*,20,1.6666666666666665,8
12,A*,21,1.212678125181665,8
12,A*,22,1.3736056394868903,8
12,A*,23,2.0,8
12,A*,24,1.1704114719613057,8
12,A*,25,1.643989873053573,8
12,A*,26,1.015346165133619,8
12,A*,27,1.5811388300841898,8
12,A*,28,1.118033988749895,8
12,A*,29,1.9611613513818404,8
12,A*,30,1.3130643285972254,8
12,A*,31,1.2403473458920846,8
12,A*,32,1.4907119849998598,8
12,A*,33,1.8569533817705186,8
12,A*,34,1.7149858514250882,8
12,A*,35,2.23606797749979,8
12,A*,36,1.162476387438193,8
12,A*,37,1.386750490563073,8
12,A*,38,1.5617376188860608,8
12,A*,39,1.0846522890932808,8
12,A*,40,2.773500981126146,8
12,A*,41,3.5355339059327373,8
12,A*,42,2.3570226039551585,8
12,A*,43,1.0,8
12,A*,44,1.0101525445522106,8
12,A*,45,1.1785113019775793,8
12,A*,46,3.1622776601683795,8
12,A*,47,4.47213595499958,8
12,A*,48,0.9245003270420484,8
12,A*,49,1.0846522890932808,8
12,A*,50,2.773500981126146,8
12,A*,51,2.0,8
12,A*,52,0.9407208683835973,8
12,A*,53,4.47213595499958,8
12,A*,54,3.333333333333333,8
12,A*,55,0.9407208683835973,8
12,A*,56,1.2803687993289596,8
12,A*,57,5.0,8
12,A*,58,2.3570226039551585,8
12,A*,59,0.8838834764831843,8
12,A*,60,3.5355339059327373,8
12,A*,61,7.071067811865475,8
12,A*,62,1.0101525445522106,8
12,A*,63,0.8574929257125441,8
12,A*,64,0.8838834764831843,8
12,A*,65,1.1785113019775793,8
12,A*,66,3.1622776601683795,8
12,A*,67,0.8770580193070293,8
12,A*,68,7.071067811865475,8
12,A*,69,1.0846522890932808,8
12,A*,70,0.8192319205190406,8
12,A*,71,0.8304547985373998,8
12,A*,72,0.8304547985373998,8
12,A*,73,4.47213595499958,8
12,A*,74,0.8304547985373998,8
12,A*,75,0.9407208683835973,8
12,A*,76,10.0,8
12,A*,77,4.47213595499958,8
12,A*,78,2.773500981126146,8
12,A*,79,10.0,8
12,A*,80,10.0,8
12,A*,81,0.7808688094430304,8
12,A*,82,0.8770580193070293,8
12,A*,83,20,8
12,A*,84,7.071067811865475,8
12,A*,85,1.0,8
12,A*,86,0.7856742013183861,8
12,A*,87,0.7856742013183861,8
12,A*,88,5.0,8
12,A*,89,3.1622776601683795,8
12,A*,90,1.162476387438193,8
12,A*,91,2.23606797749979,8
12,A*,92,20,8
12,A*,93,0.7432941462471664,8
12,A*,94,0.7432941462471664,8
12,A*,95,3.333333333333333,8
