complexity,algorithm,samples,reward,b
12,LAP3,10,6.0,8
12,MCTS,6,4.0,8
12,MCTS,12,4.0,8
12,MCTS,18,5.0,8
12,MCTS,24,5.0,8
12,MCTS,30,5.0,8
12,MCTS,36,5.0,8
12,MCTS,42,5.0,8
12,MCTS,48,5.0,8
12,MCTS,54,5.0,8
12,MCTS,60,5.0,8
12,MCTS,66,5.0,8
12,LAP3,10,4.0,8
12,MCTS,6,4.0,8
12,MCTS,12,4.0,8
12,MCTS,18,4.0,8
12,MCTS,24,4.0,8
12,MCTS,30,4.0,8
12,MCTS,36,4.0,8
12,MCTS,42,4.0,8
12,MCTS,48,4.0,8
12,MCTS,54,4.0,8
12,MCTS,60,4.0,8
12,MCTS,66,4.0,8
12,LAP3,10,3.0,8
12,LAP3,15,3.0,8
12,LAP3,15,3.0,8
12,LAP3,20,4.0,8
12,LAP3,55,4.0,8
12,MCTS,6,4.0,8
12,MCTS,12,4.0,8
12,MCTS,18,4.0,8
12,MCTS,24,4.0,8
12,MCTS,30,4.0,8
12,MCTS,36,4.0,8
12,MCTS,42,4.0,8
12,MCTS,48,4.0,8
12,MCTS,54,4.0,8
12,MCTS,60,4.0,8
12,MCTS,66,4.0,8
12,LAP3,10,10.0,8
12,LAP3,20,3.0,8
12,MCTS,6,4.0,8
12,MCTS,12,4.0,8
12,MCTS,18,4.0,8
12,MCTS,24,4.0,8
12,MCTS,30,4.0,8
12,MCTS,36,4.0,8
12,MCTS,42,4.0,8
12,MCTS,48,4.0,8
12,MCTS,54,4.0,8
12,MCTS,60,4.0,8
12,MCTS,66,6.0,8
12,LAP3,15,3.0,8
12,LAP3,20,4.0,8
12,LAP3,40,7.0,8
12,LAP3,45,7.0,8
12,LAP3,50,5.0,8
12,LAP3,50,7.0,8
12,LAP3,40,4.0,8
12,LAP3,40,4.0,8
12,LAP3,40,5.0,8
12,LAP3,55,7.0,8
12,LAP3,45,5.0,8
12,LAP3,45,10.0,8
12,LAP3,40,4.0,8
12,LAP3,40,7.0,8
12,LAP3,50,7.0,8
12,LAP3,40,4.0,8
12,LAP3,40,4.0,8
